Restaurant_Name,Twitter_Name
McDonald's,@McDonalds
Burger King,@BurgerKing
Wendy's,@Wendys
Chick-fil-A,@ChickfilA
Jack in the Box,@JackBox
Sonic,@sonicdrivein
Dairy Queen,@DairyQueen
Carl's Jr.,@CarlsJr
Hardee's,@Hardees
White Castle,@WhiteCastle
Whataburger,@Whataburger
In-N-Out Burger,@innoutburger
